what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348362981825
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348362983267
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348363026387
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348363031023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348363064636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363067172
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348363069885
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348363071966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348363074508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363076498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363086504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363088103
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363093528
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363094825
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363097843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363101003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363102852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363103774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348363118482
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363120227
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363121479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363129199
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363138959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348363181569
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348363182836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348363206704
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363209088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348363213964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348363219529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348363240922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348363249855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348363257218
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363268665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363414666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348363426217
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348364257651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348364269422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348364272894
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348364277688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348364282736
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348364283858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348364287276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348364340584
closed,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348364346746
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348364349145
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348364351454
