what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1348371702093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348371705529
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348371801945
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348371824805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348371831112
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348371986511
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1348371991077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348371998586
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372008940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372010074
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372045710
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372082958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372093661
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372094558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372120441
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372121319
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372213414
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372214060
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372252409
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372324947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348372333936
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348372384276
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1348372384386
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348372389323
