what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348367104326
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348367107924
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348367108589
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348367109020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348367110669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367119007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367235040
error,log,,,"",1348367252434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367254041
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348367256312
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367257590
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367260618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348367262026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367263303
error,log,,,"",1348367268495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367269705
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348367271344
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367272589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367274564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348367275727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367277205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367283166
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348367284671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367286253
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348367287942
