what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354389389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354391047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354394587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354395672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354403745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354405702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354412205
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354413217
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348354417708
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354422163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354437514
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354453769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354471014
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348354476223
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348354489395
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1348354492167
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354498863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1348354509995
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348354511535
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348354513804
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1348354516594
activated,editor,com.android.ide.eclipse.adt,20.0.3.v201208082019-427395,"com.android.ide.eclipse.editors.CommonXmlEditor",1348354530506
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1348354533330
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1348354547411
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348354550180
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1348354557047
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1348354564392
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348354567406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348354578699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1348354585574
